,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
644,supersede the previous comment. mismatch id number_nric ,51,supersede previous comment  mismatch id number nric,"['supersede_previous', 'comment', 'mismatch', 'i', 'd', 'number', 'nric']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (448, 1), (449, 1)]","[(0, 0.23757816399099965), (1, 0.23767610813449508), (2, 0.01512280897963417), (3, 0.19157844581669586), (4, 0.19641105462015795), (448, 0.5822040751833534), (449, 0.6874567592413532)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.036826763), (1, 0.03688393), (2, 0.036821082), (3, 0.03688966), (4, 0.14437012), (5, 0.03688007), (6, 0.03683222), (7, 0.036820922), (8, 0.036831833), (9, 0.03682052), (10, 0.03682021), (11, 0.03682051), (12, 0.037245918), (13, 0.19218126), (14, 0.03682917), (15, 0.036820926), (16, 0.036827154), (17, 0.03683571), (18, 0.036821205), (19, 0.036820855)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment. mismatch id number nric ,0
856,"supersede the previous comment. mismatch full legal name_name does not sound similar. hence, it is highly unlikely they are the same person. ",37,supersede previous comment  mismatch full name sound similar  hence highly unlikely person ,"['supersede_previous', 'comment', 'mismatch', 'full', 'name', 'sound', 'similar', 'hence', 'highly', 'unlikely', 'person']","[(2, 1), (8, 1), (9, 1), (10, 1), (11, 1), (29, 1), (32, 1), (34, 1), (58, 1), (448, 1), (449, 1)]","[(2, 0.014353119729063973), (8, 0.2229718108764033), (9, 0.15595908031331288), (10, 0.2680364080460788), (11, 0.2758105241757911), (29, 0.11870712067843543), (32, 0.04173000775673156), (34, 0.08630551612648865), (58, 0.15332099698004986), (448, 0.5525722641282599), (449, 0.6524680161756655)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03540684), (1, 0.04127605), (2, 0.035123274), (3, 0.05102087), (4, 0.036360525), (5, 0.03752766), (6, 0.044327382), (7, 0.035122998), (8, 0.048670422), (9, 0.035122417), (10, 0.03543899), (11, 0.035122354), (12, 0.035602372), (13, 0.17579958), (14, 0.03781574), (15, 0.03512301), (16, 0.035136744), (17, 0.13975643), (18, 0.035123408), (19, 0.035122905)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment. mismatch full name name does not sound similar. hence it is highly unlikely they are the same person. ,0
1056,"all accounts were dormant since  2018. to activate dormant account branch has to comply to process of activation dormant act mal/bkgops/admin/123/1 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than common name there is no unique identifier to justify that watch person(s) are the same individual.           

",29,accounts dormant since  activate dormant account branch comply process activation dormant act malbkgopsadmin  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  common name unique identifier justify watch persons individual ,"['account', 'dormant', 'since', 'activate_dormant', 'account', 'branch_comply_process', 'activation_dormant', 'act_malbkgopsadmin_among', 'others_stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'common', 'name', 'unique_identifier_justify', 'watch', 'person', 'individual']","[(9, 1), (17, 1), (20, 1), (32, 1), (61, 1), (75, 1), (115, 2), (181, 1), (575, 1), (619, 1), (641, 1), (684, 1), (685, 1), (686, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (693, 1), (694, 1), (695, 1)]","[(9, 0.06556565597837102), (17, 0.004053013399267217), (20, 0.14386984758564147), (32, 0.017543417972560735), (61, 0.03672883096743337), (75, 0.18457368368003876), (115, 0.11199747927514934), (181, 0.10588116744732061), (575, 0.19262950966704878), (619, 0.08357035085907798), (641, 0.24590024074108727), (684, 0.29227782614081776), (685, 0.2812976144727616), (686, 0.2800316629927359), (687, 0.24958608097319673), (688, 0.24871430434905298), (689, 0.1729948681578319), (690, 0.24820128992093213), (691, 0.24837147586516164), (692, 0.24686827905403544), (693, 0.29227782614081776), (694, 0.2868653516178761), (695, 0.24888696273790195)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.02976311), (1, 0.030313473), (2, 0.029164894), (3, 0.030122153), (4, 0.031467013), (5, 0.03691665), (6, 0.031679533), (7, 0.030796805), (8, 0.0319035), (9, 0.029163424), (10, 0.029203607), (11, 0.029163292), (12, 0.05948509), (13, 0.38711402), (14, 0.029629512), (15, 0.029164487), (16, 0.03309389), (17, 0.033526096), (18, 0.0291652), (19, 0.029164284)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",all accounts were dormant since  . to activate dormant account branch has to comply to process of activation dormant act malbkgopsadmin . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than common name there is no unique identifier to justify that watch persons are the same individual.             ,0
1074,account was dormant since  2018. to activate dormant account branch has to comply to process of activation dormant act mal/bkgops/admin/123/1 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than common name there is no unique identifier to justify that watch person(s) are the same individual.   ,28,account dormant since  activate dormant account branch comply process activation dormant act malbkgopsadmin  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  common name unique identifier justify watch persons individual ,"['account', 'dormant', 'since', 'activate_dormant', 'account', 'branch_comply_process', 'activation_dormant', 'act_malbkgopsadmin_among', 'others_stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'common', 'name', 'unique_identifier_justify', 'watch', 'person', 'individual']","[(9, 1), (17, 1), (20, 1), (32, 1), (61, 1), (75, 1), (115, 2), (181, 1), (575, 1), (619, 1), (641, 1), (684, 1), (685, 1), (686, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (693, 1), (694, 1), (695, 1)]","[(9, 0.06556565597837102), (17, 0.004053013399267217), (20, 0.14386984758564147), (32, 0.017543417972560735), (61, 0.03672883096743337), (75, 0.18457368368003876), (115, 0.11199747927514934), (181, 0.10588116744732061), (575, 0.19262950966704878), (619, 0.08357035085907798), (641, 0.24590024074108727), (684, 0.29227782614081776), (685, 0.2812976144727616), (686, 0.2800316629927359), (687, 0.24958608097319673), (688, 0.24871430434905298), (689, 0.1729948681578319), (690, 0.24820128992093213), (691, 0.24837147586516164), (692, 0.24686827905403544), (693, 0.29227782614081776), (694, 0.2868653516178761), (695, 0.24888696273790195)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.029762989), (1, 0.030313393), (2, 0.029164894), (3, 0.030121956), (4, 0.031466145), (5, 0.036926977), (6, 0.03167502), (7, 0.030794015), (8, 0.031895798), (9, 0.029163424), (10, 0.0292036), (11, 0.029163292), (12, 0.05949715), (13, 0.38710895), (14, 0.029629488), (15, 0.029164487), (16, 0.03309428), (17, 0.033524685), (18, 0.029165197), (19, 0.029164284)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",account was dormant since  . to activate dormant account branch has to comply to process of activation dormant act malbkgopsadmin . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than common name there is no unique identifier to justify that watch persons are the same individual.   ,0
1221,"kindly ignore earlier comment
customer opened account on 10/06/2011. customer is saving account 114124137027 only record debit advice from year 2015 till 2022, which is 8 years. no other transaction.
if customer wish to  maintain same gcif number,  branch has to comply to process of activation act mal/bkgops/admin/123/1 issued on 27/08/2020 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.",25,kindly ignore earlier comment customer opened account  customers saving account record debit advice year till years  transaction  customer wish maintain gcif number branch comply process activation act malbkgopsadmin issued  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  name unique identifier conclusive evidence justify individual ,"['kindly_ignore', 'early', 'comment', 'customer', 'open', 'account', 'customer', 'save', 'account', 'record', 'debit_advice', 'year', 'till', 'year', 'transaction', 'customer', 'wish_maintain_gcif', 'number', 'branch_comply_process', 'activation', 'act', 'malbkgopsadmin', 'issue', 'among_other', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'name', 'unique_identifier_conclusive', 'evidence', 'justify', 'individual']","[(4, 1), (6, 2), (9, 1), (17, 4), (20, 1), (115, 2), (130, 1), (134, 1), (181, 1), (183, 1), (448, 1), (575, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (695, 1), (782, 1), (783, 1), (784, 1), (785, 1), (786, 1), (787, 1), (788, 1), (789, 1), (790, 1), (791, 1), (792, 1), (793, 1), (794, 1), (795, 1), (796, 1)]","[(4, 0.06492723580533676), (6, 0.07770927151004749), (9, 0.05431975601068281), (17, 0.013431342715695543), (20, 0.11919311873771528), (115, 0.09278753727476649), (130, 0.12004981029131241), (134, 0.057815769043189746), (181, 0.08772030258893479), (183, 0.06816926431064195), (448, 0.19245811468891744), (575, 0.159589465085552), (687, 0.20677677695467486), (688, 0.2060545285029103), (689, 0.14332258084222618), (690, 0.2056295069249263), (691, 0.20577050237184205), (692, 0.20452513568103448), (695, 0.2061975723177784), (782, 0.11293844570366479), (783, 0.21051292767486446), (784, 0.2207185245270934), (785, 0.24119304561954502), (786, 0.1909655109007432), (787, 0.09652525226135325), (788, 0.12795840540038184), (789, 0.21912146044985914), (790, 0.3160346237348043), (791, 0.21956902189161878), (792, 0.13953224544470566), (793, 0.21576597134656642), (794, 0.09505408123872329), (795, 0.21979537158192725), (796, 0.22554668148159512)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.026718356), (1, 0.027615167), (2, 0.026765732), (3, 0.03331186), (4, 0.030933456), (5, 0.070434734), (6, 0.027254052), (7, 0.027158413), (8, 0.04130665), (9, 0.026691757), (10, 0.027560374), (11, 0.026692037), (12, 0.056241084), (13, 0.38511133), (14, 0.026794756), (15, 0.026745006), (16, 0.029258229), (17, 0.029890852), (18, 0.026779406), (19, 0.026736746)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",kindly ignore earlier comment customer opened account on . customer is saving account  only record debit advice from year  till  which is  years. no other transaction. if customer wish to  maintain same gcif number  branch has to comply to process of activation act malbkgopsadmin issued on  . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.,0
1311,account was dormant and to activate dormant account branch has to comply to process of activation dormant act mal/bkgops/admin/123/1 issued on 27/08/2020 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.,23,account dormant activate dormant account branch comply process activation dormant act malbkgopsadmin issued  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  name unique identifier conclusive evidence justify individual ,"['account', 'dormant', 'activate_dormant', 'account', 'branch_comply_process', 'activation_dormant', 'act', 'malbkgopsadmin', 'issue', 'among_other', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'name', 'unique_identifier_conclusive', 'evidence', 'justify', 'individual']","[(9, 1), (17, 1), (20, 1), (115, 2), (181, 1), (575, 1), (641, 1), (685, 1), (686, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (695, 1), (782, 1), (784, 1), (787, 1), (788, 1), (789, 1), (791, 1), (793, 1), (795, 1)]","[(9, 0.0622450757009529), (17, 0.00384774806398013), (20, 0.13658354241139556), (115, 0.10632535390322767), (181, 0.10051880339972287), (575, 0.18287376573214278), (641, 0.23344659443140062), (685, 0.2670512640509622), (686, 0.2658494268309712), (687, 0.23694576485600455), (688, 0.23611813946044607), (689, 0.1642335229271986), (690, 0.23563110670774096), (691, 0.2357926735650191), (692, 0.23436560633133127), (695, 0.2362820535450982), (782, 0.12941630483373387), (784, 0.2529216306695053), (787, 0.11060840613643219), (788, 0.1466276952560978), (789, 0.2510915529650478), (791, 0.2516044141755746), (793, 0.24724649384499023), (795, 0.25186378856608854)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.028374424), (1, 0.029353786), (2, 0.028363436), (3, 0.02841421), (4, 0.028422575), (5, 0.043368995), (6, 0.02896026), (7, 0.029223097), (8, 0.043389), (9, 0.0283619), (10, 0.028916264), (11, 0.028361762), (12, 0.03179917), (13, 0.41665748), (14, 0.028373588), (15, 0.028362986), (16, 0.03153477), (17, 0.03303581), (18, 0.02836375), (19, 0.028362764)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",account was dormant and to activate dormant account branch has to comply to process of activation dormant act malbkgopsadmin issued on  . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.,0
1967,"supersede the previous comment. mismatch full legal name_name does not sound similar. hence, it is highly unlikely they are the same person.",14,supersede previous comment  mismatch full name sound similar  hence highly unlikely person ,"['supersede_previous', 'comment', 'mismatch', 'full', 'name', 'sound', 'similar', 'hence', 'highly', 'unlikely', 'person']","[(2, 1), (8, 1), (9, 1), (10, 1), (11, 1), (29, 1), (32, 1), (34, 1), (58, 1), (448, 1), (449, 1)]","[(2, 0.014353119729063973), (8, 0.2229718108764033), (9, 0.15595908031331288), (10, 0.2680364080460788), (11, 0.2758105241757911), (29, 0.11870712067843543), (32, 0.04173000775673156), (34, 0.08630551612648865), (58, 0.15332099698004986), (448, 0.5525722641282599), (449, 0.6524680161756655)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03540461), (1, 0.04081277), (2, 0.03512327), (3, 0.051536012), (4, 0.036349148), (5, 0.0375151), (6, 0.04440568), (7, 0.035122994), (8, 0.048269317), (9, 0.035122417), (10, 0.03543634), (11, 0.03512235), (12, 0.03560179), (13, 0.17579944), (14, 0.037804358), (15, 0.035123006), (16, 0.035136584), (17, 0.14006853), (18, 0.035123404), (19, 0.035122905)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment. mismatch full name name does not sound similar. hence it is highly unlikely they are the same person.,0
1979,supersede the previous comment. match id number_nric ,14,supersede previous comment  match id number nric,"['supersede_previous', 'comment', 'match', 'i', 'd', 'number', 'nric']","[(0, 1), (1, 1), (3, 1), (4, 1), (14, 1), (448, 1), (449, 1)]","[(0, 0.2320793493473103), (1, 0.23217502654555508), (3, 0.1871443078236436), (4, 0.19186506451237723), (14, 0.2144133944627713), (448, 0.5687287951304478), (449, 0.6715453756734476)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.036155462), (1, 0.037246473), (2, 0.03615605), (3, 0.036155116), (4, 0.13767044), (5, 0.036206316), (6, 0.036154855), (7, 0.036155883), (8, 0.03615508), (9, 0.036155473), (10, 0.036155097), (11, 0.036155425), (12, 0.037620034), (13, 0.18514818), (14, 0.03615497), (15, 0.036155887), (16, 0.03615532), (17, 0.059931897), (18, 0.036156185), (19, 0.03615581)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment. match id number nric ,0
2524,supersede the previous comment. mismatch id number_nric,11,supersede previous comment  mismatch id number nric,"['supersede_previous', 'comment', 'mismatch', 'i', 'd', 'number', 'nric']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (448, 1), (449, 1)]","[(0, 0.23757816399099965), (1, 0.23767610813449508), (2, 0.01512280897963417), (3, 0.19157844581669586), (4, 0.19641105462015795), (448, 0.5822040751833534), (449, 0.6874567592413532)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.036826756), (1, 0.0368839), (2, 0.036821075), (3, 0.036889654), (4, 0.14437011), (5, 0.036880072), (6, 0.036832217), (7, 0.03682092), (8, 0.03683183), (9, 0.036820516), (10, 0.036820207), (11, 0.0368205), (12, 0.03723406), (13, 0.19219321), (14, 0.036829162), (15, 0.03682092), (16, 0.036827147), (17, 0.036835704), (18, 0.036821198), (19, 0.036820848)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment. mismatch id number nric,0
2906,"supersede the previous comment. 
mismatch full legal name – name does not sound similar",9,supersede previous comment  mismatch full name sound similar,"['supersede_previous', 'comment', 'mismatch', 'full', 'name', 'sound', 'similar']","[(2, 1), (8, 1), (9, 1), (10, 1), (11, 1), (448, 1), (449, 1)]","[(2, 0.014701164142779425), (8, 0.22837858617379095), (9, 0.1597408843876796), (10, 0.27453594098761), (11, 0.28249856928342953), (448, 0.5659714200841952), (449, 0.6682895136928992)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.036632225), (1, 0.03982969), (2, 0.036614187), (3, 0.036823582), (4, 0.036829345), (5, 0.036639027), (6, 0.036649663), (7, 0.03661401), (8, 0.0366481), (9, 0.03661358), (10, 0.036613237), (11, 0.03661357), (12, 0.03711151), (13, 0.18680571), (14, 0.036640305), (15, 0.03661402), (16, 0.036633648), (17, 0.14984636), (18, 0.03661432), (19, 0.03661394)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment.  mismatch full name  name does not sound similar,0
