,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
701,"mismatch id number_nric
checking on uco watchperson gcif-3058453 & nric 540520065033
beside that watchperson is a doctor.
https://www.malaysiakini.com/news/10599
https://www.nst.com.my/news/politics/2018/04/359505/local-boy-help-bn-regain-ketari-state-seat
",46,mismatch id number nric checking uco watchperson gcif nric beside watchperson dor  boy help bn regain ketari state seat,"['mismatch', 'i', 'd', 'number', 'nric', 'check', 'uco', 'watchperson', 'gcif', 'nric', 'beside', 'watchperson', 'dor', 'boy', 'help', 'bn', 'regain', 'ketari', 'state', 'seat']","[(0, 1), (1, 1), (2, 1), (3, 2), (4, 1), (21, 1), (22, 2), (47, 1), (122, 1), (397, 1), (463, 1), (464, 1), (465, 1), (466, 1), (467, 1), (468, 1), (469, 1), (470, 1)]","[(0, 0.09813968492306575), (1, 0.09818014405963466), (2, 0.006246987027264139), (3, 0.1582758953488118), (4, 0.08113421996374884), (21, 0.08031067528864641), (22, 0.03960818421078569), (47, 0.06181378876922159), (122, 0.1424570278651174), (397, 0.12565365767355413), (463, 0.38250264233660103), (464, 0.2743773256078692), (465, 0.3402337264747859), (466, 0.29496338677311684), (467, 0.324165344805713), (468, 0.33003671195571227), (469, 0.4137779472389473), (470, 0.3025898944607961)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.03426556), (1, 0.034489337), (2, 0.16095051), (3, 0.03401321), (4, 0.09038406), (5, 0.033714283), (6, 0.03445513), (7, 0.035113655), (8, 0.03395995), (9, 0.113136046), (10, 0.033601493), (11, 0.042205263), (12, 0.03439626), (13, 0.03653053), (14, 0.061648652), (15, 0.035123643), (16, 0.03434644), (17, 0.03416025), (18, 0.040130913), (19, 0.04337486)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch id number nric checking on uco watchperson gcif 3058453 & nric 540520065033 beside that watchperson is a doctor. https://www.malaysiakini.com/news/10599 https://www.nst.com.my/news/politics/2018/04/359505/local boy help bn regain ketari state seat ,-1
902,"mismatched profile
customer is a gardeners, horticultural and nursery growers and watch person is a pep
",34,mismatched profile customer gardeners horticultural nursery growers watch person pep,"['mismatch', 'profile', 'customer', 'gardeners_horticultural_nursery_grower', 'watch', 'person', 'pep']","[(2, 1), (17, 1), (32, 1), (61, 1), (67, 1), (99, 1), (530, 1)]","[(2, 0.03030633626896586), (17, 0.020356327271817364), (32, 0.08811210882754447), (61, 0.18447116499035293), (67, 0.43855383430014094), (99, 0.19534305995568968), (530, 0.8522824736170588)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.040403586), (1, 0.038962286), (2, 0.14755833), (3, 0.042710938), (4, 0.06737877), (5, 0.041760452), (6, 0.04192462), (7, 0.038427), (8, 0.041109342), (9, 0.040672567), (10, 0.03853318), (11, 0.038416408), (12, 0.038429964), (13, 0.03841686), (14, 0.041296195), (15, 0.03841667), (16, 0.11024108), (17, 0.038507145), (18, 0.038416862), (19, 0.038417716)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatched profile customer is a gardeners, horticultural and nursery growers and watch person is a pep ",-1
2424,"mismatch nationality. customer is ultimate beneficiary owner & office bearer with executive power of pertubuhan sentuhan kemanusiaan malaysia. as per copy of rules and regulations or constitution in dms uco for pertubuhan sentuhan kemanusiaan malaysia (ucif 0000000164201219), criteria for members of the organization are malaysian citizens and member is area/state of residence is in malaysia (fasal 4 keahlian). this shows that customer is malaysian, while watchperson is pakistani. hence, both are unlikely the same person.",11,mismatch nationality  customer ultimate beneficiary owner office bearer executive power pertubuhan sentuhan kemanusiaan malaysia  per copy rules regulations constitution dms uco pertubuhan sentuhan kemanusiaan malaysia ucif criteria members organization malaysian citizens members areastate residence malaysia fasal keahlian  shows customer malaysian watchperson pakistani  hence unlikely person ,"['mismatch', 'nationality', 'customer', 'ultimate_beneficiary_owner', 'office', 'bearer', 'executive', 'power', 'pertubuhan_sentuhan_kemanusiaan', 'malaysia', 'per', 'copy', 'rules_regulation', 'constitution', 'dms', 'uco', 'pertubuhan_sentuhan_kemanusiaan', 'malaysia', 'ucif', 'criteria_members_organization', 'malaysian', 'citizen', 'members_areastate_residence', 'malaysia', 'fasal_keahlian', 'show', 'customer', 'malaysian', 'watchperson', 'pakistani', 'hence', 'unlikely', 'person']","[(2, 1), (17, 2), (21, 1), (22, 1), (25, 1), (32, 1), (34, 1), (35, 1), (49, 1), (58, 1), (63, 1), (135, 1), (142, 3), (214, 1), (233, 1), (424, 1), (507, 2), (757, 1), (1443, 1), (1444, 1), (1445, 1), (1446, 1), (1447, 1), (1448, 1), (1449, 1), (1450, 2), (1451, 1), (1452, 1)]","[(2, 0.004636481632876346), (17, 0.006228515164021947), (21, 0.059606170026381425), (22, 0.014698495274874681), (25, 0.1002285483259036), (32, 0.013480025120398757), (34, 0.0278792309887931), (35, 0.10718212524574067), (49, 0.03309339363944422), (58, 0.04952721079813982), (63, 0.11710410662197089), (135, 0.13311651106936515), (142, 0.14165593235932766), (214, 0.0982841142317802), (233, 0.0857339499027403), (424, 0.10846069958871894), (507, 0.24009173448265586), (757, 0.22503349575990636), (1443, 0.25251972139540013), (1444, 0.1829298474205859), (1445, 0.2397997155305972), (1446, 0.2630120859276335), (1447, 0.2649021982040629), (1448, 0.2630120859276335), (1449, 0.22326541380483375), (1450, 0.526024171855267), (1451, 0.15030188931816446), (1452, 0.2630120859276335)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.030185385), (1, 0.03030833), (2, 0.2592272), (3, 0.031766303), (4, 0.030564344), (5, 0.03691888), (6, 0.035386086), (7, 0.03026342), (8, 0.04151017), (9, 0.06320042), (10, 0.03005494), (11, 0.030707834), (12, 0.030758591), (13, 0.030328332), (14, 0.07620699), (15, 0.05614908), (16, 0.03062271), (17, 0.064970486), (18, 0.030359047), (19, 0.030511511)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch nationality. customer is ultimate beneficiary owner & office bearer with executive power of pertubuhan sentuhan kemanusiaan malaysia. as per copy of rules and regulations or constitution in dms uco for pertubuhan sentuhan kemanusiaan malaysia (ucif 0000000164201219), criteria for members of the organization are malaysian citizens and member is area/state of residence is in malaysia (fasal 4 keahlian). this shows that customer is malaysian, while watchperson is pakistani. hence, both are unlikely the same person.",-1
2797,"mismatch date of birth (dob). based on fomema website, dob watch person is 17/11/1990.
https://eservices.imi.gov.my/myimms/fomemastatus
",10,mismatch date birth dob  based fomema website dob watch person ,"['mismatch', 'date', 'birth', 'dob', 'base', 'fomema', 'website', 'dob', 'watch', 'person']","[(2, 1), (5, 1), (12, 1), (13, 2), (32, 1), (61, 1), (74, 1), (1624, 1), (1625, 1)]","[(2, 0.015562153534909558), (5, 0.1358020931020151), (12, 0.19359096099384396), (13, 0.48034809127083067), (32, 0.04524513137086289), (61, 0.0947250293425674), (74, 0.1452670146686911), (1624, 0.5284968913281953), (1625, 0.633776332099409)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.10434207), (1, 0.038086943), (2, 0.17674921), (3, 0.041143417), (4, 0.08029532), (5, 0.043559954), (6, 0.036639977), (7, 0.036265176), (8, 0.039441697), (9, 0.03626512), (10, 0.03628282), (11, 0.03626481), (12, 0.037321083), (13, 0.036265463), (14, 0.037079934), (15, 0.036265217), (16, 0.036278855), (17, 0.036892146), (18, 0.03626538), (19, 0.03829546)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch date of birth (dob). based on fomema website, dob watch person is 17/11/1990. https://eservices.imi.gov.my/myimms/fomemastatus ",0
2812,"mismatch date of birth (dob). based on source website, watch person dob is 29hb march 1967. 
https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/7115173/source/https%3a%2f%2fwww.mediarania.com%2f2022%2f04%2f29%2fyakini-rakyat-wawancara-eksklusif-bersama-calon-ketua-cabang-keadilan-bangi-dato-romli-ishak%2f
",9,mismatch date birth dob  based website watch person dob hb  worldcheckrefinitivcomfspprofilevhttpsaff rakyat wawancara eksklusif bersama calon ketua cabang keadilan bangi dato romli ishakf,"['mismatch', 'date', 'birth', 'dob', 'base', 'website', 'watch', 'person', 'dob', 'hb', 'rakyat_wawancara_eksklusif_bersama', 'calon_ketua_cabang_keadilan', 'bangi_dato', 'romli_ishakf']","[(2, 1), (5, 1), (12, 1), (13, 2), (32, 1), (61, 1), (74, 1), (976, 1), (980, 1), (1625, 1), (1628, 1), (1629, 1), (1630, 1)]","[(2, 0.007569467798351563), (5, 0.06605445501989891), (12, 0.09416309523020983), (13, 0.23364243263105175), (32, 0.02200733749192657), (61, 0.046074475341605595), (74, 0.07065821495917479), (976, 0.38552199336943255), (980, 0.38552199336943255), (1625, 0.30827028704107456), (1628, 0.39838886544017016), (1629, 0.46347806091399846), (1630, 0.39838886544017016)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.0927088), (1, 0.03957453), (2, 0.17812422), (3, 0.04128982), (4, 0.058418553), (5, 0.04040344), (6, 0.036999352), (7, 0.040137634), (8, 0.038923025), (9, 0.038420323), (10, 0.03717115), (11, 0.03842686), (12, 0.03960855), (13, 0.041390963), (14, 0.037547845), (15, 0.040226355), (16, 0.038062047), (17, 0.038783524), (18, 0.04186679), (19, 0.041916233)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch date of birth (dob). based on source website, watch person dob is 29hb march 1967.  https://wc1 worldcheck.refinitiv.com/fsp/profile/v1/7115173/source/https%3a%2f%2fwww.mediarania.com%2f2022%2f04%2f29%2fyakini rakyat wawancara eksklusif bersama calon ketua cabang keadilan bangi dato romli ishak%2f ",-1
2899,"mismatch date of incorporation
",9,mismatch date incorporation,"['mismatch', 'date', 'incorporation']","[(2, 1), (12, 1), (1657, 1)]","[(2, 0.019838196340456065), (12, 0.2467843210336099), (1657, 0.9688673515285453)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.042424683), (1, 0.041513607), (2, 0.17523049), (3, 0.041811615), (4, 0.07667182), (5, 0.04150925), (6, 0.041526146), (7, 0.041470602), (8, 0.041523892), (9, 0.04147016), (10, 0.04146739), (11, 0.041468903), (12, 0.0414698), (13, 0.04147162), (14, 0.041511275), (15, 0.041471183), (16, 0.041501097), (17, 0.041543335), (18, 0.04147182), (19, 0.041471306)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch date of incorporation ,-1
3506,"mismatch date of birth (dob)
watch person dob is 06/05/1985 as per fomema status. bn0923544 - bgd
(https://eservices.imi.gov.my/myimms/fomemastatus)
",7,mismatch date birth dob watch person dob per fomema status  bn bgd,"['mismatch', 'date', 'birth', 'dob', 'watch', 'person', 'dob', 'per', 'fomema', 'status', 'bn', 'bgd']","[(2, 1), (5, 1), (12, 1), (13, 2), (32, 1), (49, 1), (61, 1), (464, 1), (620, 1), (1624, 1), (1983, 1)]","[(2, 0.01151103140512887), (5, 0.10045024649531036), (12, 0.14319558194502588), (13, 0.3553044218211008), (32, 0.033466970170347374), (49, 0.08216124286674037), (61, 0.0700663173106513), (464, 0.5055822908136652), (620, 0.31651774918795117), (1624, 0.3909191809440139), (1983, 0.5671300522562828)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.08293094), (1, 0.03551671), (2, 0.2055715), (3, 0.03942384), (4, 0.069269925), (5, 0.03568626), (6, 0.035371825), (7, 0.07236325), (8, 0.035166997), (9, 0.034984194), (10, 0.035000358), (11, 0.03743113), (12, 0.034984376), (13, 0.034985676), (14, 0.035328), (15, 0.034985658), (16, 0.03567714), (17, 0.03534974), (18, 0.034985762), (19, 0.034986697)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch date of birth (dob) watch person dob is 06/05/1985 as per fomema status. bn0923544 bgd (https://eservices.imi.gov.my/myimms/fomemastatus) ,0
3578,"mismatch date of birth (dob). based on fomema website, dob watch person is 17/11/1990
https://eservices.imi.gov.my/myimms/fomemastatus
",7,mismatch date birth dob  based fomema website dob watch person,"['mismatch', 'date', 'birth', 'dob', 'base', 'fomema', 'website', 'dob', 'watch', 'person']","[(2, 1), (5, 1), (12, 1), (13, 2), (32, 1), (61, 1), (74, 1), (1624, 1), (1625, 1)]","[(2, 0.015562153534909558), (5, 0.1358020931020151), (12, 0.19359096099384396), (13, 0.48034809127083067), (32, 0.04524513137086289), (61, 0.0947250293425674), (74, 0.1452670146686911), (1624, 0.5284968913281953), (1625, 0.633776332099409)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.1043368), (1, 0.038069908), (2, 0.17674908), (3, 0.04095958), (4, 0.08041456), (5, 0.04370445), (6, 0.03663857), (7, 0.036265172), (8, 0.039418872), (9, 0.036265112), (10, 0.036282774), (11, 0.036264807), (12, 0.037313946), (13, 0.03626546), (14, 0.037075277), (15, 0.03626521), (16, 0.036278866), (17, 0.036888678), (18, 0.036265377), (19, 0.038277455)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch date of birth (dob). based on fomema website, dob watch person is 17/11/1990 https://eservices.imi.gov.my/myimms/fomemastatus ",0
3580,"mismatch date of birth (dob). based on fomema website, dob watch person is 17/11/1990. 
https://eservices.imi.gov.my/myimms/fomemastatus
",7,mismatch date birth dob  based fomema website dob watch person ,"['mismatch', 'date', 'birth', 'dob', 'base', 'fomema', 'website', 'dob', 'watch', 'person']","[(2, 1), (5, 1), (12, 1), (13, 2), (32, 1), (61, 1), (74, 1), (1624, 1), (1625, 1)]","[(2, 0.015562153534909558), (5, 0.1358020931020151), (12, 0.19359096099384396), (13, 0.48034809127083067), (32, 0.04524513137086289), (61, 0.0947250293425674), (74, 0.1452670146686911), (1624, 0.5284968913281953), (1625, 0.633776332099409)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.10433841), (1, 0.038076486), (2, 0.17674913), (3, 0.04098063), (4, 0.080404215), (5, 0.043651283), (6, 0.03663914), (7, 0.036265176), (8, 0.03943699), (9, 0.036265116), (10, 0.03628279), (11, 0.03626481), (12, 0.03731723), (13, 0.036265463), (14, 0.03707721), (15, 0.036265217), (16, 0.036278866), (17, 0.036890283), (18, 0.03626538), (19, 0.038286235)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch date of birth (dob). based on fomema website, dob watch person is 17/11/1990.  https://eservices.imi.gov.my/myimms/fomemastatus ",0
4038,"mismatch date of birth (dob) - refer to fomema
wp- 01/03/1991
https://eservices.imi.gov.my/myimms/fomemastatus",6,mismatch date birth dob refer fomema wp,"['mismatch', 'date', 'birth', 'dob', 'refer', 'fomema', 'wp']","[(2, 1), (5, 1), (12, 1), (13, 1), (64, 1), (1167, 1), (1624, 1)]","[(2, 0.020034378210198434), (5, 0.17482866293788704), (12, 0.24922479539390965), (13, 0.3091948460564609), (64, 0.24956301197913916), (1167, 0.5349081363273802), (1624, 0.6803754107702126)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.10026564), (1, 0.036530923), (2, 0.11929555), (3, 0.045061488), (4, 0.08038874), (5, 0.03652929), (6, 0.03653839), (7, 0.036506504), (8, 0.03661041), (9, 0.036880508), (10, 0.036707096), (11, 0.036506135), (12, 0.10655205), (13, 0.036506675), (14, 0.036530048), (15, 0.036506504), (16, 0.036524054), (17, 0.03654681), (18, 0.036506753), (19, 0.036506437)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch date of birth (dob) refer to fomema wp 01/03/1991 https://eservices.imi.gov.my/myimms/fomemastatus,0
